APPLICATION_TYPE,AFFILIATION,CLASSIFICATION,USE_CASE,ORGANIZATION,STATUS,INCOME_AMT,SPECIAL_CONSIDERATIONS,ASK_AMT,IS_SUCCESSFUL
T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,1
T4,Independent,C3000,ProductDev,Trust,1,100000-499999,N,133124,1
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,3610574,0
T3,Independent,C2000,Preservation,Trust,1,5M-10M,N,31664752,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,0
T3,Independent,Other,Preservation,Trust,1,1-9999,N,40643,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T7,Independent,C1000,ProductDev,Trust,1,10000-24999,N,19738,0
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T4,Independent,C3000,ProductDev,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,91474,0
T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,1
T3,Independent,C2000,Preservation,Trust,1,1M-5M,N,457849,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,5000,0
T8,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,287879,1
T3,Independent,C1000,Preservation,Co-operative,1,0,N,5000,1
T3,Independent,C1000,Preservation,Co-operative,1,1-9999,N,5064445,1
Other,Independent,C2000,ProductDev,Co-operative,1,5M-10M,N,50121229,0
Other,Independent,C1000,Preservation,Co-operative,1,0,N,5000,1
Other,Independent,C1000,ProductDev,Co-operative,1,10M-50M,N,3325383,1
Other,Independent,C1000,CommunityServ,Trust,1,0,N,5000,1
T3,Independent,Other,Preservation,Co-operative,1,25000-99999,N,11297,1
T3,Independent,C1000,Preservation,Co-operative,1,10000-24999,N,344188,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Co-operative,1,1M-5M,N,1358049,1
Other,Independent,C1000,ProductDev,Co-operative,1,10M-50M,N,44311553,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Co-operative,1,0,N,5000,1
T3,Independent,C1000,Preservation,Co-operative,1,0,N,60000,1
T3,Independent,C2000,Preservation,Co-operative,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Association,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Co-operative,1,10000-24999,N,446689,1
T3,Independent,C1000,Preservation,Co-operative,1,0,N,5000,1
T3,Independent,C1200,Preservation,Co-operative,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
T5,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
T19,Independent,C1000,Preservation,Association,1,0,N,5000,1
T3,Independent,C2100,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,1-9999,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,985182,1
T3,Independent,C2000,Preservation,Trust,1,1M-5M,N,8027933,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,342077,0
T4,Independent,C3000,CommunityServ,Trust,1,25000-99999,N,7893,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,83868,1
T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,0
T6,Independent,C3000,ProductDev,Trust,1,25000-99999,N,684159,0
T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,0
T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,40429,1
T10,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,596518,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,127908,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,Other,Preservation,Association,1,0,N,5000,0
T6,CompanySponsored,C3000,ProductDev,Trust,1,0,N,5000,1
T8,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,1
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T19,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,1-9999,N,59100,1
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,252937,1
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
T5,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,61618,0
T3,CompanySponsored,C1200,Preservation,Association,1,25000-99999,N,54196,0
T6,Independent,C2000,ProductDev,Trust,1,25000-99999,N,88047,1
T3,Independent,C1000,Preservation,Corporation,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T5,Independent,C1000,ProductDev,Association,1,25000-99999,N,62925,1
T6,Independent,C2000,ProductDev,Corporation,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,153823,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T4,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,25000-99999,N,57588,0
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,1
T6,Independent,C2000,ProductDev,Trust,1,25000-99999,N,402075,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,60860,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,16819,1
T3,Independent,Other,Preservation,Trust,1,10000-24999,N,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T19,CompanySponsored,C1000,ProductDev,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,Other,Preservation,Association,1,0,N,5000,1
T4,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,123807,0
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,509501,0
T3,CompanySponsored,Other,Preservation,Association,1,0,N,5000,0
T6,Independent,C1000,ProductDev,Association,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,20537,1
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
T6,Independent,C2000,ProductDev,Trust,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,1-9999,N,5000,1
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C2000,Preservation,Trust,1,1M-5M,N,6692638,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,36855,0
T3,CompanySponsored,Other,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,163636,0
T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,13098,1
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T3,Independent,Other,Preservation,Trust,1,25000-99999,N,149032,1
T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,307767,0
T3,Independent,C1000,Preservation,Association,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,195224,1
T3,Independent,C2100,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C2100,Preservation,Trust,1,25000-99999,N,30158,0
T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,28627,1
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
Other,Independent,C1000,ProductDev,Trust,1,100000-499999,N,153009,1
T4,Independent,C3000,ProductDev,Trust,1,0,N,5000,1
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,Other,Preservation,Association,1,25000-99999,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,47140,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,5000,1
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,120765,1
T3,Independent,Other,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1200,Preservation,Association,1,0,N,5000,1
T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,Other,Preservation,Association,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,7057,1
T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,0
T3,Independent,C2000,Preservation,Trust,1,1M-5M,N,1094323,0
T19,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,0
T7,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,33269,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,29312,1
T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,Other,Preservation,Association,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,151308,1
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,2122538,0
T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,33232,0
T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,596463,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,281714,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T6,Independent,C2000,ProductDev,Association,1,25000-99999,N,119950,1
T3,Independent,C1000,Preservation,Association,1,0,N,5000,1
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T3,Independent,C2100,Preservation,Trust,1,0,N,5000,1
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T3,Independent,Other,Preservation,Trust,1,100000-499999,N,290292,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,Other,Preservation,Association,1,25000-99999,N,41803,1
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,19259,1
T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,364058,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,82694,0
T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,74469,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,Other,Preservation,Trust,1,100000-499999,N,13182,1
T3,Independent,C1000,Preservation,Association,1,0,N,5000,1
T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,0
T6,Independent,C1000,ProductDev,Trust,1,25000-99999,N,41054,1
T3,Independent,C1000,Preservation,Co-operative,1,0,N,5000,1
T3,Independent,Other,Preservation,Trust,1,25000-99999,N,338878,0
T3,Independent,C1000,Preservation,Trust,1,1-9999,N,5016,1
T5,Independent,C1200,ProductDev,Trust,1,100000-499999,N,393958,1
T3,Independent,C1000,Heathcare,Trust,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,47180,0
T3,CompanySponsored,Other,Preservation,Association,1,0,N,5000,1
T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,141250,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,108346,0
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,58374,1
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,623969,1
T3,Independent,C2000,Preservation,Trust,1,1M-5M,N,1007297,0
T3,Independent,Other,Preservation,Trust,1,0,N,5000,0
T4,Independent,C3000,ProductDev,Trust,1,0,N,5000,1
T4,Independent,C3000,ProductDev,Trust,1,0,N,5000,1
T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,519206,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C2100,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,5M-10M,N,1322134,0
T3,Independent,Other,Preservation,Trust,1,100000-499999,N,237393,1
T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T4,Independent,C3000,ProductDev,Trust,1,10M-50M,N,1100212,1
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,13823,0
T4,Independent,C3000,ProductDev,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,28168,1
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,0
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,Other,Preservation,Trust,1,0,N,5000,1
T19,Independent,C1000,ProductDev,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,34875,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,1-9999,N,17354,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,5000,0
T3,Independent,Other,Preservation,Trust,1,100000-499999,N,42145,0
T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1200,Preservation,Trust,1,25000-99999,N,36521,0
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,174511,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,17738,1
T5,Independent,C3000,ProductDev,Association,1,1-9999,N,5000,0
T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,66072,0
T3,Independent,C1200,Heathcare,Trust,1,100000-499999,N,32409,1
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,19808,1
T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,25455,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1200,Preservation,Association,1,100000-499999,N,93685,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C2100,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,1
T3,Independent,C2000,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,Other,Preservation,Association,1,0,N,5000,1
T19,Independent,C1000,Preservation,Trust,1,1-9999,N,6010,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,0
T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,5000,1
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,144237,0
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T5,CompanySponsored,C1000,ProductDev,Association,1,25000-99999,N,194164,1
T3,Independent,C2000,Preservation,Trust,1,1-9999,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,83523,0
T3,CompanySponsored,C2100,Preservation,Trust,1,100000-499999,N,48069,0
T3,CompanySponsored,Other,Preservation,Association,1,0,N,5000,0
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,117096,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
T6,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,412034,0
T3,Independent,C1000,Preservation,Trust,1,25000-99999,Y,5000,1
T6,Independent,C2000,ProductDev,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,4475688,0
T3,CompanySponsored,Other,Preservation,Association,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,Other,Preservation,Association,1,0,N,5000,0
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,Other,Preservation,Association,1,0,N,5000,1
T3,Independent,Other,Preservation,Trust,1,100000-499999,N,26265,0
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,Other,Preservation,Association,1,0,N,5000,0
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,Other,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,Other,Preservation,Association,1,0,N,5000,0
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,0
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T3,CompanySponsored,Other,Preservation,Association,1,0,N,5000,0
T3,Independent,C1000,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
